TIME, FY_4,
0.176635625,-1129.53239,
0.176835625,-1130.81341,
0.177035625,-1132.09443,
0.177235625,-1133.37545,
0.177435625,-1134.65648,
0.177635625,-1135.9375,
0.177835625,-1137.21852,
0.178035625,-1138.49955,
0.178235625,-1139.78058,
0.178435625,-1141.06161,
0.178635625,-1142.34263,
0.178835625,-1143.62367,
0.179035625,-1144.9047,
0.179235625,-1146.18573,
0.179435625,-1147.46676,
0.179635625,-1148.7478,
0.179835625,-1150.02883,
0.180035625,-1151.30987,
0.180235625,-1152.59091,
0.180435625,-1153.87195,
0.180635625,-1155.15299,
0.180835625,-1156.43403,
0.181035625,-1157.71507,
0.181235625,-1158.99612,
0.181435625,-1160.27716,
0.181635625,-1161.55821,
0.181835625,-1162.83925,
0.182035625,-1164.1203,
0.182235625,-1165.40135,
0.182435625,-1166.6824,
0.182635625,-1167.96345,
0.182835625,-1169.2445,
0.183035625,-1170.52556,
0.183235625,-1171.80661,
0.183435625,-1173.08767,
0.183635625,-1174.36872,
0.183835625,-1175.64978,
0.184035625,-1176.93084,
0.184235625,-1178.2119,
0.184435625,-1179.49296,
0.184635625,-1180.77402,
0.184835625,-1182.05508,
0.185035625,-1183.33615,
0.185235625,-1184.61721,
0.185435625,-1185.89828,
0.185635625,-1187.17934,
0.185835625,-1188.46041,
0.186035625,-1189.74148,
0.186235625,-1191.02255,
0.186435625,-1192.30362,
0.186635625,-1193.58469,
0.186835625,-1194.86577,
0.187035625,-1196.14684,
0.187235625,-1197.42792,
0.187435625,-1198.70899,
0.187635625,-1199.99007,
0.187835625,-1201.27115,
0.188035625,-1202.55223,
0.188235625,-1203.83331,
0.188435625,-1205.11439,
0.188635625,-1206.39547,
0.188835625,-1207.67655,
0.189035625,-1208.95764,
0.189235625,-1210.23872,
0.189435625,-1211.51981,
0.189635625,-1212.80089,
0.189835625,-1214.08198,
0.190035625,-1215.36307,
0.190235625,-1216.64416,
0.190435625,-1217.92525,
0.190635625,-1219.20634,
0.190835625,-1220.48744,
0.191035625,-1221.76853,
0.191235625,-1223.04963,
0.191435625,-1224.33072,
0.191635625,-1225.61182,
0.191835625,-1226.89292,
0.192035625,-1228.17402,
0.192235625,-1229.45512,
0.192435625,-1230.73622,
0.192635625,-1232.01732,
0.192835625,-1233.29842,
0.193035625,-1234.57952,
0.193235625,-1235.86063,
0.193435625,-1237.14173,
0.193635625,-1238.42284,
0.193835625,-1239.70395,
0.194035625,-1240.98506,
0.194235625,-1242.26617,
0.194435625,-1243.54728,
0.194635625,-1244.82839,
0.194835625,-1246.1095,
0.195035625,-1247.39061,
0.195235625,-1248.67173,
0.195435625,-1249.95284,
0.195635625,-1251.23396,
0.195835625,-1252.51507,
0.196035625,-1253.79619,
0.196235625,-1255.07731,
0.196435625,-1256.35843,
0.196635625,-1257.63955,
0.196835625,-1258.92067,
0.197035625,-1260.20179,
0.197235625,-1261.48292,
0.197435625,-1262.76404,
0.197635625,-1264.04517,
0.197835625,-1265.32629,
0.198035625,-1266.60742,
0.198235625,-1267.88855,
0.198435625,-1269.16968,
0.198635625,-1270.45081,
0.198835625,-1271.73194,
0.199035625,-1273.01307,
0.199235625,-1274.2942,
0.199435625,-1275.57533,
0.199635625,-1276.85647,
0.199835625,-1278.1376,
0.200035625,-1279.41874,
0.200235625,-1280.69988,
0.200435625,-1281.98101,
0.200635625,-1283.26215,
0.200835625,-1284.54329,
0.201035625,-1285.82443,
